,1,2,3,4,5,6,7,8,9,10
1,178,848,178,178,211,162,313,275,373,113
2,248,1181,248,248,293,226,436,384,519,158
3,264,1256,264,264,312,240,464,408,552,168
4,264,1256,264,264,312,240,464,408,552,168
5,249,1187,249,249,295,227,438,386,522,159
6,138,658,138,138,163,126,243,214,289,88
7,207,986,207,207,245,188,364,320,433,132
8,251,1193,251,251,296,228,441,388,524,160
9,264,1256,264,264,312,240,464,408,552,168
10,264,1256,264,264,312,240,464,408,552,168
11,253,1204,253,253,299,230,445,391,529,161
12,49,231,49,49,57,44,85,75,101,31
13,263,1251,263,263,311,239,462,406,550,167
14,197,939,197,197,233,179,347,305,413,126
15,178,848,178,178,211,162,313,275,373,113
16,186,885,186,186,220,169,327,288,389,118
17,202,959,202,202,238,183,354,312,422,128
18,0,0,0,0,0,0,0,0,0,0
19,162,772,162,162,192,148,285,251,339,103
20,46,217,46,46,54,41,80,70,95,29
21,264,1256,264,264,312,240,464,408,552,168
22,258,1228,258,258,305,235,454,399,540,164
23,182,868,182,182,216,166,321,282,382,116
24,186,885,186,186,220,169,327,288,389,118
25,167,793,167,167,197,152,293,258,348,106
26,157,746,157,157,185,142,276,242,328,100
27,42,201,42,42,50,38,74,65,88,27
28,219,1042,219,219,259,199,385,339,458,139
29,216,1027,216,216,255,196,379,334,451,137
30,223,1061,223,223,264,203,392,345,466,142
31,242,1152,242,242,286,220,426,374,506,154
